user_id;affiliate_id;register_date
100019;1470;29/10/2022
100045;1434;15/09/2022
100065;1587;05/01/2022
100101;1167;01/10/2022
100103;1853;04/09/2022
100106;1270;14/06/2022
100205;1372;07/02/2022
100238;1848;08/07/2022
100288;1083;23/08/2022
100325;1885;15/11/2022
100331;1104;08/04/2022
100359;1879;24/07/2022
100360;1435;06/02/2022
100382;1850;24/10/2022
100505;1406;03/06/2022
100518;1053;07/06/2022
100521;1833;27/05/2022
100543;1395;02/12/2022
100565;1071;06/03/2022
100591;1108;27/01/2022
100624;1572;13/11/2022
100628;1225;18/08/2022
100635;1913;15/02/2022
100648;1787;20/10/2022
100658;1449;16/04/2022
100667;1180;23/11/2022
100673;1532;01/02/2022
100683;1633;24/11/2022
100762;1871;18/06/2022
100868;1205;24/08/2022
100876;1999;02/04/2022
100884;1667;29/08/2022
100885;1313;22/01/2022
100951;1198;17/07/2022
101011;1134;15/11/2022
101041;1005;13/07/2022
101082;1324;20/08/2022
101109;1202;29/10/2022
101180;1954;28/11/2022
101236;1107;10/08/2022
101256;1172;16/03/2022
101282;1888;07/06/2022
101288;1163;09/01/2022
101305;1980;23/01/2022
101309;1889;13/09/2022
101327;1133;06/04/2022
101342;1560;25/06/2022
101431;1537;15/11/2022
101435;1720;26/05/2022
101466;1334;08/07/2022
101470;1770;02/05/2022
101502;1716;16/05/2022
101509;1922;25/05/2022
101546;1054;17/11/2022
101594;1640;10/09/2022
101606;1066;04/03/2022
101615;1443;22/03/2022
101638;1462;10/03/2022
101675;1199;21/01/2022
101688;1662;02/12/2022
101820;1236;23/03/2022
101828;1079;07/12/2022
101840;1593;20/04/2022
101872;1014;06/06/2022
101911;1699;08/06/2022
101947;1810;17/10/2022
101961;1479;04/02/2022
101968;1998;31/03/2022
101977;1520;19/11/2022
101997;1796;28/06/2022
102007;1491;20/02/2022
102013;1556;01/06/2022
102040;1522;11/06/2022
102089;1279;07/02/2022
102119;1609;28/03/2022
102136;1878;20/11/2022
102141;1658;23/04/2022
102147;1090;26/04/2022
102243;1388;13/10/2022
102384;1473;01/11/2022
102444;1283;14/04/2022
102478;1102;08/09/2022
102487;1280;12/02/2022
102497;1804;08/04/2022
102501;1141;21/04/2022
102506;1419;19/03/2022
102610;1575;15/11/2022
102650;1800;07/02/2022
102667;1675;09/06/2022
102707;1420;31/07/2022
102755;1358;15/11/2022
102794;1284;09/11/2022
102813;1254;03/08/2022
102870;1655;10/04/2022
102880;1233;01/11/2022
102899;1879;21/07/2022
102968;1312;25/11/2022
102994;1006;16/03/2022
102996;1482;20/04/2022
103027;1588;18/04/2022
103056;1597;08/10/2022
103068;1294;05/07/2022
103085;1534;09/11/2022
103121;1907;21/06/2022
103151;1355;13/08/2022
103348;1673;21/09/2022
103397;1794;13/02/2022
103436;1627;23/09/2022
103491;1518;15/09/2022
103517;1969;27/09/2022
103518;1906;15/11/2022
103522;1807;22/04/2022
103529;1291;02/11/2022
103563;1093;22/03/2022
